name,description
Albert Alberts,"Albert Alberts, writing as A. Alberts (1911–1996) was a Dutch writer, translator, and journalist. He won numerous awards throughout his career, among them the 1975 Constantijn Huygens Prize."
Albert Apponyi,Count Albert Apponyi de Nagyappony (29 May 1846 – 7 February 1933) was a distinguished Hungarian nobleman and politician from an ancient noble family dating back to the 13th century.
Albert B. Fall,"Albert Bacon Fall (November 26, 1861 – November 30, 1944) was a United States Senator from New Mexico and the Secretary of the Interior under President Warren G. Harding, infamous for his involvement in the Teapot Dome scandal."
Albert Bassermann,Albert Bassermann (7 September 1867 - 15 May 1952) was a German stage and screen actor. He was married to Elsa Bassermann whom he frequently performed alongside.
Albert Batteux,"Albert Batteux (July 2, 1919 – February 28, 2003) was a French football midfielder and a manager. He is the most successful manager in the history of Ligue 1 having won 9 domestic titles, twice reaching the European Cup final and a third place finish at the 1958 World Cup."
Albert Bessler,"Albert Bessler (15 February 1905 – 4 December 1975) was a German film actor. He appeared in 40 films between 1942 and 1975. He was born in Hamburg, Germany and died in Berlin, Germany."
Albert Bierstadt,"Albert Bierstadt (January 7, 1830 – February 18, 1902) was a German-American painter best known for his lavish, sweeping landscapes of the American West. In obtaining the subject matter for these works, Bierstadt joined several journeys of the Westward Expansion. Though not the first artist to record these sites, Bierstadt was the foremost painter of these scenes for the remainder of the 19th century. Bierstadt was part of the Hudson River School, not an institution but rather an informal group of like-minded painters. The Hudson River School style involved carefully detailed paintings with romantic, almost glowing lighting, sometimes called luminism. An important interpreter of the western landscape, Bierstadt, along with Thomas Moran, is also grouped with the Rocky Mountain School."
Albert Blaustein,"Albert Paul Blaustein (October 12, 1921 — 1994) was an American Civil Rights and human rights lawyer and expert constitutional consultant who helped draft the Fijian and Liberian constitutions, as well as being called in as a consultant for the constitutions of for Zimbabwe, Bangladesh, Cambodia and Peru. To a lesser extent, he was involved in the constitutions of Poland, South Africa, Hungary, Romania, Niger, Uganda and Trinidad and Tobago. He was the editor of the 20-volume encyclopaedia Constitutions of the Countries of the World."
Albert Brudzewski,"Albert Brudzewski, also Albert Blar (of Brudzewo), Albert of Brudzewo or Wojciech Brudzewski (in Latin, Albertus de Brudzewo; c.1445–c.1497) was a Polish astronomer, mathematician, philosopher and diplomat."
Albert C. Barnes,"Albert Coombs Barnes (January 2, 1872 – July 24, 1951) was an American physician and chemist, businessman, art collector, writer, and educator, the founder of the Barnes Foundation in Lower Merion, Pennsylvania. With a fortune made from the development of the antiseptic drug Argyrol, used to treat gonorrhea; a business to promote it; and the well-timed sale of his company in 1929, in his 30s Barnes began to study and collect art. He acquired his first 20 pieces by commissioning his friend, the artist William Glackens, to buy modern work for him in Paris. After selling his business, he devoted himself to the study and collecting of art. In 1922, Barnes established the Barnes Foundation, an educational institution, and housed his collection in a mansion built for that purpose in Lower Merion, Pennsylvania. It was an educational institution based on his private collection of art, which was hung according to his theories of aesthetics and without curatorial commentary. The collection has numerous paintings by Impressionist, Post-Impressionist and Modernist masters, as well as furniture, ancient artifacts, and highly crafted objects from different time periods. He created numerous restrictions to limit the number of visitors and intended to attract students. He had a passion for educating the underprivileged, intending his collection to be viewed by students. He established a special relationship with Horace Mann Bond, the first black president of Lincoln University, a historically black college in the area, and its students. By his will, he gave the university a strong role in administration of his foundation: it had the authority to select candidates for four of the five original trustee seats. Decades after his death, the Barnes Foundation gradually expanded its hours and visitation, but was still limited in visitors, and struggled financially to maintain the museum and preserve the collection. It finally decided to accept offers from the City of Philadelphia and regional foundations to relocate there to a site with greater public access for all classes. Its new building on the Benjamin Franklin Parkway in Philadelphia, Pennsylvania opened in 2012, after the Foundation survived court challenges to its relocation decision."
Albert Capellani,Albert Capellani (23 August 1874 – 26 September 1931) was a French film director and screenwriter of the silent era. He directed films between 1905 and 1922. His brother was the actor-sculptor Paul Capellani.
Albert Collins,"Albert Collins (October 1, 1932 – November 24, 1993) was an American electric blues guitarist and singer (and occasional harmonica player) whose recording career began in the 1960s in Houston and whose fame eventually took him to stages across North America, Europe, Japan and Australia. He had many nicknames, such as ""The Ice Man"", ""The Master of the Telecaster"" and ""The Razor Blade""."
Albert Cossery,"Albert Cossery (3 November 1913 – 22 June 2008) was an Egyptian-born French writer of Greek Orthodox Syro-Lebanese descent, born in Cairo."
Albert Decourtray,Albert Florent Augustin Decourtray S.T.D. (9 April 1923 – 16 September 1994) was a French Roman Catholic Cardinal and Archbishop of Lyon.
Albert Deullin,"Capitaine Albert Louis Deullin was a World War I flying ace credited with twenty aerial victories. By war's end, he had risen to command of a fighter wing. Deullin scored his first triumph on 10 February 1916 while piloting a two-seater Maurice Farman for MF 62. He switched to Escadrille N3 as a Nieuport fighter pilot. He scored ten aerial victories in exactly another year, with triumph eleven coming on 10 February 1917. He then was transferred to command 73 Escadrille and began scoring for them. Over the next fourteen months, he downed nine more enemy planes, with the last falling on 19 May 1918. He was promoted to higher command in 1918, to leadership of Group de Combat 19. Deullin died in a flying accident at Villacoublay on 29 May 1923. He was testing a prototype of a new airplane."
Albert F. Mummery,"Albert Frederick Mummery, was an English mountaineer and author. Although most notable for his many and varied first ascents put up in the Alps, Mummery, along with J. Norman Collie, Hastings, and two Gurkhas are also known to have been the first men in recorded history to have attempted to summit one of the Himalayan eight-thousanders - the fourteen highest peaks in the world. Their innovative, light-weight endeavour upon Nanga Parbat in 1895 was to prove ill-fated with Mummery and both Gurkhas losing their lives in an avalanche whilst reconnoitring the mountain's Rakhiot Face. The mountain would go on to earn its reputation as a ""man-eater"" as thirty-one men would lose their lives on its slopes before the first ascent was made by the legendary Austrian Mountaineer Hermann Buhl in 1953. Buhl, the only man in history to have made the first ascents of more than one of the 8,000 metre peaks, described Mummery as ""One of the greatest mountaineers of all time""."
Albert Florath,"Albert Peter Adam Florath (7 December 1888, Bielefeld – 11 March 1957, Gaildorf) was a German stage and film actor."
Albert Forster,"Albert Maria Forster (July 26, 1902 – February 28, 1952) was a Nazi German politician. Under his administration as the Gauleiter of Danzig-West Prussia during the Second World War, the local non-German population suffered ethnic cleansing, mass murder, and forceful Germanisation. Forster was sentenced to death for his crimes after Nazi Germany was defeated."
Albert Göring,"Albert Günther Göring (9 March 1895 - 20 December 1966) was a German businessman, notable for helping Jews and dissidents survive in Germany in World War II. {{#invoke:Footnotes|sfn}} His older brother, Hermann Göring, was the head of the German Luftwaffe, and a leading member of the Nazi Party."
Albert Ghiorso,"Albert Ghiorso (July 15, 1915 – December 26, 2010) was an American nuclear scientist and co-discoverer of a record 12 chemical elements on the periodic table. His research career spanned five decades, from the early 1940s to the late 1990s."
Albert Gleizes,"Albert Gleizes (8 December 1881 – 23 June 1953), was a French artist, theoretician, philosopher, a founder of Cubism and an influence on the School of Paris. Albert Gleizes and Jean Metzinger wrote the first major treatise on Cubism, Du ""Cubisme"", 1912. Gleizes was a founding member of the Section d'Or group of artists. He was also a member of Der Sturm, and his many theoretical writings were originally most appreciated in Germany, where especially at the Bauhaus his ideas were given thoughtful consideration. Gleizes spent four crucial years in New York, and played an important role in making America aware of modern art. He was a member of the Society of Independent Artists, founder of the Ernest-Renan Association, and both a founder and participant in the Abbaye de Creteil. Gleizes exhibited regularly at Léonce Rosenberg’s Galerie de l’Effort Moderne in Paris; he was also a founder, organizer and director of Abstraction-Création. From the mid-1920s to the late 1930s much of his energy went into writing (e.g. , La Peinture et ses lois, Vers une conscience plastique: La Forme et l’histoire and Homocentrisme ."
"Albert Gore, Sr.","Albert Arnold ""Al"" Gore, Sr. (December 26, 1907 – December 5, 1998) was an American politician, serving as a U.S. Representative and a U.S. Senator for the Democratic Party from Tennessee. Gore and his wife Pauline LaFon Gore had two children: daughter Nancy LaFon Gore (born in 1938 and died of lung cancer in 1984) and a son Albert Gore Jr. in 1948. Al Gore, Jr. would follow in his father's political footsteps in the Democratic Party representing Tennessee as a U.S. Representative and Senator, and later serving as Vice President of the United States."
Albert Gottschalk,"Albert Gottschalk (3 July 1866 - 13 February 1906) was a Danish painter. He had a close connection, personally and artisticly, to the poets Johannes Jørgensen, Viggo Stuckenberg and Sophus Claussen."
Albert Hammond,"Albert Louis Hammond OBE (born 18 May 1944) is an English singer, songwriter and record producer from Gibraltar."
Albert Hofmann,"Albert Hofmann (January 11, 1906 – April 29, 2008) was a Swiss scientist known best for being the first person to synthesize, ingest, and learn of the psychedelic effects of lysergic acid diethylamide (LSD). Hofmann also was the first to isolate, synthesize, and name the principal psychedelic mushroom compounds, psilocybin and psilocin. He authored more than 100 scientific articles and a number of books, including LSD: My Problem Child. In 2007 he was ranked a shared first place, alongside Tim Berners-Lee, in The Telegraph's list of 100 greatest living geniuses."
"Albert II, Margrave of Brandenburg","Albert II, Margrave of Brandenburg was a member of the House of Ascania. He was Margrave of Brandenburg from 1205 until his death in 1220."
"Albert III, Duke of Saxony",Albert III (27 January 1443 – 12 September 1500) was a Duke of Saxony. He was nicknamed Albert the Bold or Albert the Courageous and founded the Albertine line of the House of Wettin.
"Albert IV, Duke of Mecklenburg","Albert IV, Duke of Mecklenburg (German: Albrecht IV von Mecklenburg; before 1363 - 24/31 December 1388) was co-regent of Mecklenburg from 1383 to 1388. He was the son of the Duke Henry III of Mecklenburg and Ingeborg of Denmark. Albert was also a claimant to the Danish throne after the death of King Valdemar IV, but Olaf II succeeded instead. After his father Henry died in 1383, Albert ruled Mecklenburg jointly with his uncles Albert III and Magnus I and his cousin John IV. He was married to Elisabeth of Holstein, the daughter of Nicholas, Count of Holstein-Rendsburg and died in December 1388. In 1404 his widow Elisabeth married Duke Eric V of Saxe-Lauenburg."
Albert Kivikas,"Albert Kivikas (18 January 1898 – 19 May 1978) was an Estonian writer and journalist. He is best known as the author of the book ""Names in Marble"", the subject of which is the Estonian War of Independence."
Albert L. Lehninger,"Albert Lester Lehninger (February 17, 1917 – March 4, 1986) was an American biochemist in the field of bioenergetics. He made fundamental contributions to the current understanding of metabolism at a molecular level. In 1948, he discovered, with Eugene P. Kennedy, that mitochondria are the site of oxidative phosphorylation in eukaryotes, which ushered in the modern study of energy transduction. He is the author of a number of classic texts, including: Biochemistry, The Mitochondrion, Bioenergetics and, most notably, his series Principles of Biochemistry. The latter is a widely used text for introductory biochemistry courses at the college and university levels."
Albert Lee,"Albert William Lee (born 21 December 1943) in Lingen, Herefordshire, England) is an English guitarist known for his fingerstyle and hybrid picking technique. Lee has worked, both in the studio and on tour, with many famous musicians from a wide range of genres. He has also maintained a solo career and is a noted composer and musical director."
Albert Mangelsdorff,"Albert Mangelsdorff (September 5, 1928 in Frankfurt, Germany – July 25, 2005 in Frankfurt) was one of the most accredited and innovative trombonists of modern jazz who became famous for his distinctive technique of playing multiphonics."
Albert Richter,"Albert Richter (born Cologne, Germany, 14 October 1912 – died January 2, 1940) was a German cyclist who won the world sprint championship. He was taken from a train by the Gestapo and never seen again."
Albert Sarraut,"Albert-Pierre Sarraut was a French Radical politician, twice Prime Minister during the Third Republic. Sarraut was born in Bordeaux, Gironde, France. He was Governor-General of French Indochina, from 1912 to 1914 and from 1917 to 1919. Sarraut retired from politics after Pétain dissolved the National Assembly in July 1940. He took control of the family newspaper, La Dépêche de Toulouse, after the editor, his brother Maurice, was killed by the Milice in 1943. Sarraut died in Paris in 1962."
Albert Sauveur,"Albert Sauveur (21 June 1863 in Leuven, Belgium–26 January 1939) was an American Metallurgist, originally Belgian. He studied at Athénée Royal in Brussels, then the School of Mines, Liege and graduated at the Massachusetts Institute of Technology in 1889. Sauveur founded the first metallographic laboratory in a university. From 1924 to 1939, he held the Gordon McKay Professor of Mining and Metallurgy title at Harvard University. From 1939 on, ASM International started bestowing the Albert Sauveur Achievement Award, for achievements in materials science and engineering. He was awarded the Elliott Cresson Medal in 1913 and the Franklin Medal in 1939, both from The Franklin Institute."
Albert Schatz (scientist),"Albert Schatz (2 February 1920 – 17 January 2005) was the co-discoverer of streptomycin, the first antibiotic remedy used to treat tuberculosis and a number of other diseases. Originally, the discovery of streptomycin was credited only to Schatz's supervisor, Selman Waksman who won the 1952 Nobel Prize for the discovery./"
"Albert Speer, Jr.","Albert Speer (born 29 July 1934 in Berlin) is a German architect and urban planner. He is son of Albert Speer, who was Adolf Hitler's chief architect before assuming the office of Minister of Armaments and War Production for the Third Reich during World War II. Albert Speer, Jr. 's grandfather, Albert Friedrich Speer, was also an architect."
"Albert V, Duke of Saxe-Coburg","Albert V (24 May 1648 – 6 August 1699), was a duke of Saxe-Coburg. He was the fifth but second surviving son of Ernst I, Duke of Saxe-Coburg-Altenburg, and Elisabeth Sophie of Saxe-Altenburg. He was born in Gotha. When his father died in 1675, Albert became ruler of the duchy of Saxe-Gotha-Altenburg along with all his brothers, and took Saalfeld as his residence. In 1680, after concluding a treaty of partition with his brothers, he received Coburg, to which he moved his residence. After his death without surviving sons in Coburg, his lands were disputed between his brothers, but Coburg was finally inherited by his youngest surviving brother, John Ernst."
Albert Van Damme,"Albert ""Berten"" Van Damme (born 1 December 1940) is a former Belgian cyclo-crosser. He won 109 individual races, became six times Belgian National Champion and once World Champion, in 1974. His career lasted from 1959 till 1978. He was active in the same years as the brothers Eric and Roger De Vlaeminck. Together with his own brother, Daniël Van Damme there was a bit of a ""battle"" between the two families. The first Albert Van Damme A-cyclocross race was held in October 2011 and was won by Sven Nys."
Albert W. Tucker,"Albert W. Tucker {{#invoke:InfoboxImage|InfoboxImage|image=|size=300px|sizedefault=frameless|alt=|suppressplaceholder=yes}}Albert William TuckerBorn (1905-11-28)28 November 1905Oshawa, Ontario, CanadaDied 25 January 1995(1995-01-25) (aged 89)Highstown, N.J. , U.S. Residence U.S. Nationality Canadian AmericanFields Mathematician: Combinatorial topology OptimizationInstitutions Princeton UniversityAlma mater University of Toronto, Princeton UniversityDoctoral advisor Solomon LefschetzDoctoral students David GaleJohn R. IsbellMarvin Minsky</br>John Forbes NashTorrence ParsonsLloyd ShapleyKnown for Prisoner's dilemma </br> Karush–Kuhn–Tucker conditions</br>Combinatorial linear algebraInfluenced Harold W. Kuhn David Gale R. Tyrrell Rockafellar Albert William Tucker (28 November 1905 – 25 January 1995) was a Canadian mathematician who made important contributions in topology, game theory, and non-linear programming. Albert Tucker was born in Oshawa, Ontario, Canada, and earned his B.A. at the University of Toronto in 1928 and his M.A. at the same institution in 1929. In 1932, he completed his Ph.D. at the Princeton University under the supervision of Solomon Lefschetz, with a thesis entitled An Abstract Approach to Manifolds. In 1932–33 he was a National Research Fellow at Cambridge, Harvard, and the University of Chicago. He then returned to Princeton to join the faculty in 1933, where he stayed till 1974. He chaired the mathematics department for about twenty years, one of the longest tenures. His extensive relationships within the field made him a great source for oral histories of the mathematics community. His Ph.D. students include Michel Balinski, David Gale, Alan Goldman, John Isbell, Stephen Maurer, Marvin Minsky, Nobel Prize winner John Nash, Torrence Parsons, Nobel Prize winner Lloyd Shapley, Robert Singleton, and Marjorie Stein. Although he wasn't his dissertation advisor, Tucker did advise and collaborated with Harold W. Kuhn on a number of papers and models. In 1950, Albert Tucker gave the name and interpretation ""prisoner's dilemma"" to Merrill M. Flood and Melvin Dresher's model of cooperation and conflict, resulting in the most well-known game theoretic paradox. He is also well known for the Karush–Kuhn–Tucker conditions, a basic result in non-linear programming, which was published in conference proceedings, rather than in a journal. In the 1960s, he was heavily involved in mathematics education, as chair of the AP Calculus committee for the College Board (1960–1963), through work with the Committee on the Undergraduate Program in Mathematics (CUPM) of the MAA (he was president of the MAA in 1961–1962), and through many NSF summer workshops for high school and college teachers. In the early 1980s, Tucker recruited Princeton history professor Charles Gillispie to help him set up an oral history project to preserve stories about the Princeton mathematical community in the 1930s. With funding from the Sloan Foundation, this project later expanded its scope. Among those who shared their memories of such figures as Einstein, von Neumann, and Gödel were computer pioneer Herman Goldstine and Nobel laureates John Bardeen and Eugene Wigner. Albert Tucker noticed the leadership ability and talent of a young mathematics graduate student named John G. Kemeny, whose hiring Tucker suggested to Dartmouth College. Following Tucker's advice, Dartmouth recruited Kemeny, who became Chair of the Mathematics Department and later College President. Years later, Darthmouth College recognized Albert Tucker with an honorary degree. Tucker died in Hightstown, N.J. in 1995 at age 89."
Albert Widmann,Albert Widmann (8 June 1912 — 24 December 1986) was an SS officer and German chemist who worked for the Action T4 euthanasia program during the regime of Nazi Germany.
Albert of Louvain,"Saint Albert of Louvain or Albert of Leuven (c. 1166 Brabant – 24 November 1192 – some say 24 November 1191, or 1202 – Rheims) was Prince-Bishop of Liège from 22 September 1191 till January 1192. He was canonized in 1613. He was a son of Godfrey III, Count of Leuven, and brother of Henry I, Duke of Lorraine and Brabant, and was chosen Bishop of Liège in 1191 by the people and the Church. Emperor Henry VI proposed his own choice, causing Albert to journey to Rome to appeal to Celestine III. The pope ordained him a deacon and sent him to the Archbishop of Rheims. The archbishop ordained Albert a priest and consecrated him as a bishop. Outside of Rheims, Albert was accosted by eight followers of Henry VI, who stabbed him to death. It is unsure in what year Albert was killed. His feast day is November 21. His body reposed at Rheims until 1612, when the Archduke Albert of Austria had the body moved to Brussels. His relics were shared with the Cathedral of Liège in 1822."
Alberta Hunter,"Alberta Hunter (April 1, 1895 – October 17, 1984) was an American blues singer, songwriter, and nurse. Her career had started back in the early 1920s, and from there on, she became a successful jazz and blues recording artist, being critically acclaimed to the ranks of Ethel Waters and Bessie Smith. In the 1950s, she retired from performing and entered the medical field, only to successfully resume her singing career in her 80s."
Alberta Watson,"Alberta Watson (born March 6, 1955) is a Canadian film and television actress."
Albertina Sisulu,"Nontsikelelo Albertina Sisulu (21 October 1918 – 2 June 2011) was a black South African anti–apartheid activist, and the widow of fellow activist Walter Sisulu (1912–2003). She was affectionately known as Ma Sisulu throughout her lifetime by the South African public. In 2004 she was voted 57th in the SABC3's Great South Africans. She died on 2 June 2011 in her home in Linden, Johannesburg, South Africa, aged 92."
Alberto Angela,Alberto Angela (born 8 April 1962) is an Italian paleontologist and scientific popularizer.
Alberto Bevilacqua,"Alberto Bevilacqua (born 27 June 1934, Parma) is an Italian writer and filmmaker. Leonardo Sciascia, an Italian writer and politician, read Bevilacqua's first collection of stories, The Dust on the Grass (1955), was impressed and published it. Mario Colombi Guidotti, responsible for the literary supplement of the Journal of Parma, began to publish his stories in the early 1950s. Friendship Lost, his first book of poems, was published in 1961. Caliph, published in 1964, was his break-through novel. The protagonist, Irene Corsini, imbued with his own sweet and energetic temperament, is one of the strongest female characters in Italian literature. His novel This Kind of Love won the Campiello Prize in 1966. In both This Kind of Love and Caliph, Bevilacqua oversaw the adaptations and productions of the film versions. This Kind of Love won Best Film at Cannes. Bevilacqua is also a poet. His writings have been translated throughout Europe, the United States, Brazil, China and Japan. In 2010, his seven ""stories"" as he likes to call them, are included in the Novels volume of the prestigious series ""I Meridiani. ” He directed seven films between 1970 and 1999. His 1970 film La califfa was entered into the 1971 Cannes Film Festival."
Alberto Bovone,"Alberto Bovone (June 11, 1922 – April 17, 1998) was an Italian Cardinal of the Roman Catholic Church. He served as Prefect of the Congregation for the Causes of Saints from 1995 until his death, and was elevated to the cardinalate in 1998. Alberto Bovone was born in Frugarolo, and attended the seminary in Alessandria. Ordained to the priesthood on May 26, 1945, he then did pastoral work for a year before continuing his studies from 1946 until 1951 at the University of Turin and the Pontifical University of St. Thomas Aquinas (Angelicum) in Rome (where he obtained his doctorate in canon law). Bovone entered the Roman Curia as an official of the Congregation for the Council in October 1951, and was later made Undersecretary of the Congregation for the Doctrine of the Faith on May 21, 1973. Pope John Paul II named him Titular Archbishop of Caesarea in Numidia on April 5, 1984, and Secretary of the Congregation for the Doctrine of the Faith three days later, on April 8. Bovone received his episcopal consecration on the following May 12 from Cardinal Joseph Ratzinger, with Bishop Ferdinando Maggioni and Archbishop Luigi Dadaglio serving as co-consecrators. Bovone was the first person ordained as a Bishop by Ratzinger, who would become Pope Benedict XVI. As Secretary of the Doctrine of the Faith, he was the second-highest official of that dicastery, under Cardinal Ratzinger. In 1987, he helped write the instruction Donum Vitae on the respect for human life. Bovone was later appointed to head the Congregation for the Causes of the Saints on June 13, 1995. As he had yet to be raised to the College of Cardinals, he only held the title of Pro-Prefect of the congregation, until John Paul II created him Cardinal- Deacon of Ognissanti in Via Appia Nuova in the consistory of February 21, 1998, and Bovone became full Prefect of the Causes of the Saints two days later, on February 23. The Cardinal died in Rome two months later, at the age of 75. He is buried in his family's plot in Frugarolo."
Alberto De Martino,"Alberto De Martino (born 12 June 1929) is an Italian film director and screenwriter. He directed 28 films between 1962 and 1985. He also wrote for 23 films between 1959 and 1985. He was born in Rome, Italy."
Alberto Gonzales,"Alberto R. Gonzales (born August 4, 1955) was the 80th, and the first Hispanic United States Attorney General, appointed in February 2005 by President George W. Bush, becoming the highest-ranking Hispanic in executive government to date. Prior to his elevation, he was the first Hispanic White House General Counsel, and earlier he had been Bush's General Counsel during his governorship of Texas. In Texas Gonzales had also served as Secretary of State of Texas and then as a Texas Supreme Court Justice. Gonzales's tenure as US Attorney General was marked by controversy regarding warrantless wiretapping of US civilians and the authorization of torture. Following bipartisan calls for his removal, Gonzales resigned from the office without explanation. Democrats were particularly opposed to Gonzales for his role in the firing of several US District Attorneys which they believe had politicized his office. Gonzalez is currently a professor at Belmont University."
Alberto Guerrero,"Antonio Alberto García Guerrero (February 6, 1886 – November 7, 1959) was a Chilean-Canadian composer, pianist, and teacher. While he is most famously remembered as the mentor of Canadian pianist Glenn Gould, Guerrero influenced several generations of musicians through his many years of teaching at the Toronto Conservatory of Music."
Alberto Henschel,"Alberto Henschel (13 June 1827 – 30 June 1882) was a German-Brazilian photographer born in Berlin. Considered the hardest-working photographer and businessman in 19th-century Brazil, with offices in Pernambuco, Bahia, Rio de Janeiro, and São Paulo, Henschel was also responsible for the presence of other professional photographers in the country, including his compatriot Karl Ernest Papf—with whom he later worked. Henschel became known for making pictorial representations of Rio de Janeiro as a landscaper photographer and for being an excellent portraitist. He earned the title of Photographo da Casa Imperial (Photographer of the Royal House), allowing him to photograph the everyday life of the Brazilian monarchy during the Reign of Pedro II, even photographing the emperor Dom Pedro II and his family. This title would give his photographs increased recognition and raise their price. But his principal contribution to the history of Brazilian photography is his photographic record of the different social classes in Brazil in the 19th century: portraits, usually in the carte de visite format, taken of the nobility, of rich tradesmen, of the middle-class, and of black people, either slaves or free, in a period before the Lei Áurea."
Alberto Kalach,Alberto Kalach (born 1960) is a Mexican architect.
Alberto Lattuada,"Alberto Lattuada (13 November 1914 – 3 July 2005) was an Italian film director. Lattuada was born in Milan, the son of composer Felice Lattuada. He was initially interested in literature, becoming, while still a student, a member of the editorial staff of the antifascist fortnightly ""Camminare... "" (1932) and part of the artists' group Corrente di Vita (1938). According to an interview of his son (coming with the DVD of Mafioso), Lattuada's father made him complete his studies as an architect even though he recognized his desire to make movies. In 1940 he started his cinema career as a screenwriter and assistant director on Mario Soldati's Piccolo mondo antico (""Old-Fashioned World""). In 1943 he directed his first movie, Giacomo l'idealista. Luci del Varietà (1950), co-directed with Federico Fellini, was the latter's first directorial endeavour. His 1962 film La steppa was entered into the 12th Berlin International Film Festival. In 1970, he was a member of the jury at the 20th Berlin International Film Festival. In 1979, New Line Cinema released his erotic film Stay As You Are theatrically in the United States. He died at 90 years old of Alzheimer's disease and is survived by his wife of 61 years, actress Carla Del Poggio. He was buried in his family's chapel in the cemetery of Morimondo."
Alberto Magnelli,Alberto Magnelli (1 July 1888 – 20 April 1971) was an Italian modern painter who was a significant figure in the post war Concrete art movement.
Alberto Marvelli,"Alberto Marvelli (21 March 1918 - 5 October 1946) was an Italian member of the Catholic Action. Born at Ferrara, he was given a Christian formation by his mother, who kept their home open to the poor. Through his upbringing he became a firm defender of the poor in his later years."
Alberto Medina,"Alberto Medina Briseño is a Mexican footballer. He currently plays for Puebla, alternating between Forward and Attacking Midfielder. He is nicknamed El Venado (The Deer) by fans."
Alberto Paloschi,"Alberto Paloschi is an Italian footballer who plays as a striker for Serie A club Chievo, co-owned with Milan."
Alberto Rivera,"Alberto Magno Romero Rivera (September 19, 1935 – June 20, 1997) was an anti-Catholic religious activist who was the source of many of fundamentalist Christian author Jack Chick's conspiracy theories about the Vatican. Chick promised to promote Alberto's claims even after he died. Rivera claimed to have been a Jesuit before becoming a Fundamentalist Protestant, and many of the stories Chick published about Rivera involve Jesuit conspiracies."
Alberto Tarantini,"Alberto Tarantini (born 3 December 1955, in Ezeiza) is an Argentine former football player. He played as a defensive left back early in his career, and later as a wing back. Noted for his technical ability as well as stamina, Tarantini was best known for his fiery temper. He rose through the Boca Juniors youth divisions in the early 1970s, and was noted for his afro hairdo and his large front teeth, which earned him the nickname conejo. Tarantini was part of the under-23 team that won the 1975 Toulon Tournament, together with Jorge Valdano, Américo Gallego, and others, with César Menotti as coach. He became the left-back of the Argentina national football team after Jorge Carrascosa left the team (the book El DT del Proceso by Gasparini and Ponsico claims that the wolf Carrascosa declined to play for the dictatorship). He was also, at 22, the youngest player of that team. A few months before the 1978 FIFA World Cup, he had a contractual dispute with Boca that left him clubless, as Boca management pressured all Argentine clubs into denying him a new contract. After some good performances during the World Cup (he scored a goal in the 6-0 victory against Peru) he was signed by Birmingham City for £295,000. His spell in England was overshadowed by poor discipline, with Tarantini flattening Manchester United striker Brian Greenhoff, and famously ending his 23-game spell in Birmingham by wading into the crowd to punch a heckler. After his return to Argentina he played for Talleres de Córdoba, River Plate (where he had good performances as a full-back), and European teams SC Bastia, Toulouse and FC St. Gallen. In 1982 Tarantini was voted into the Top Ten of the South America Player of the Year awards. Tarantini also played in the 1982 FIFA World Cup for Argentina, and retired from the national team immediately thereafter. Tarantini's love of nightlife was noted by gossip columnists; for many years he was the husband of fashion model Patricia Pata Villanueva."
Alberto Vázquez-Figueroa,Alberto Vázquez-Figueroa is a Spanish novelist. His novels have sold over 25 million copies worldwide.
Alberto Vargas,Alberto Vargas (9 February 1896 – 30 December 1982) was a noted Peruvian painter of pin-up girls. He is often considered one of the most famous of the pin-up artists. Numerous Vargas paintings have sold and continue to sell for hundreds of thousands of dollars.
Alberto Zozaya,"Alberto Maximo Zozaya (born April 13, 1908 Urdinarrain, Entre Ríos - February 17, 1981 La Plata) is a former Argentine football striker, he played most of his career for Estudiantes de La Plata and represented the Argentina national football team."
Alberto de Mendoza,"Alberto Manuel Rodríguez-Gallego González de Mendoza (21 January 1923 – 12 December 2011) was an Argentine film actor who appeared in some 114 films between 1930 and 2005, spanning eight decades. A lifelong figure in Argentine films, De Mendoza appeared in film such as Adán y la serpiente in 1946 and A hierro muere in 1962 often working alongside Olga Zubarry. In the late 1960s and 1970 he appeared in a number of spaghetti Westerns. and also had a prominent role in the 1973 horror classic Horror Express, in which he co-starred alongside Christopher Lee, Peter Cushing and Telly Savalas. De Mendoza is better known to middle-age audiencies in Argentina from his role in the popular TV series El Rafa, aired from 1980 to 1982, or the less successful El Oriental, aired from 1982 to 1983. He died in Madrid on 12 December 2011, at age 88."
Alberto di Jorio,"Alberto di Jorio (18 July 1884 – 5 September 1979), was a cardinal of the Catholic Church and for many years along with the layman Bernadino Nogara the powerhouse behind the growing wealth of the Vatican and the Istituto per le Opere di Religione (popularly known as the ""Vatican Bank"")."
