name,description
בן מודי,בנימין רוברט מודי ( נולד ב -22 ינואר 1981
בן ניקולסון,בנימין לאודר \ בן \ ניקולסון
בן Oxenbould, 
בן שוט,בן שוט (26 מאי 1974
בן שאן,בן שאן (12 בספטמבר 1898 - 14 מרס 1969 ) הייתהאמן אמריקאי יליד ליטא . 
בן שניידרמן,בן שניידרמן (נולד 21 אוגוסט 1947 ) הואמדען מחשבים אמריקאי
בן Sidran,בן Sidran (נולד 14 אוגוסט 1943 ) הואג'אז אמריקאי ופסנתרן רוק
בן סילברסטון,בנימין מוריס סילברסטון ( נולד ב -9 באפריל 1979) הואעורך דין אנגלי ושחקן לשעבר. 
בן Sombogaart,בן Sombogaart (נולד ב 8 אוגוסט 1947 באמסטרדם ) הוא סרט הולנדי ומנהל טלוויזיה. 
בן טיין,בנימין ג'רמי \ בן \ שטיין (נולד 25 נובמבר 1944 ) הוא שחקן אמריקאי 
בן סוויפט,בנימין ( בן ) סוויפט ( נולד ב -5 בנובמבר 1987) הוארוכב אופניים אנגלי מקצועי מסלול וכביש מירוציםשרוכביםלצוות סקיי 
בן טורפין,בן טורפין ( 19 ספטמבר 1869 - 1 ביולי 1940) היה קומיקאי אמריקאי פוזלושחקן
בן וידר,בנימין \ בן \ וידר 
בן ואן Berkel,בן ואן Berkel ( נולד ב -1957) היאאדריכל הולנדי . 
נדטו Aloisi Masella,נדטו Aloisi Masella (29 ביוני 1879-1830 ספטמבר 1970) היהקרדינל איטלקי שלהכנסייה הקתולית שכיהן כנציב שלהמשמעת שלהסקרמנטים 1954-1968 
נדיקטה הנרייטה שלפאלץ,הנסיכה פפאלץ נדיקטה הנרייטה ( נדיקטה הנרייטה Philippina ; 14 מרס 1652 - 12 אוגוסט 1730) הייתה נסיכה גרמנית 
נגט Pohjanen,נגט אריק נדיקטוס Pohjanen 
נימינו סגרה,Beniamino Segre {{
בנימין APTHORP גולד,בנימין APTHORP גולד ( 27 ספטמבר 1824 - 26 נובמבר 1896 ) היהאסטרונום אמריקאי חלוציות. 
בנימין אאואר,בנימין אאואר (נולד 11 ינואר 1981בלנדאו ) הוא כדורגלן גרמני שהנו מרכז קדימה .
בנימין ג ברדלי,בנימין קראונינשילד \ בן \ ברדלי (נולד 26 אוגוסט 1921 ) הואסגן נשיא ב- גדול של הוושינגטון פוסט . 
בנימין כריסטנסן,בנימין כריסטנסן ( 28 ספטמבר 1879 - 2 אפריל 1959 ) היההבמאי דני קולנוע
בנימין גוגנהיים,בנימין גוגנהיים (26 באוקטובר 1865 - 15 אפריל 1912 ) היהאיש עסקים אמריקאים . 
בנימין ח ד Buchloh,בנימין היינץ דיטר Buchloh (נולד 1941) הוא הסטוריון אמנות אמריקאי יליד גרמניה . 
בנג'מין הריסון V, 
בנימין Huger (כללי),בנימין Huger ( 22 נובמבר 1805 - 7 בדצמבר 1877) היהקריירה של קצין חימוש צבא ארצות הברית שלחם בהצטיינותבמלחמה מקסיקנית . 
בנימין קרן,בנימין קרן (נולד ב 5 נובמבר 1983בGoppingen ) הוא כדורגלן גרמני שמשחק עבור MSV דויסבורג .
בנימין Kowalewicz,בנימין Kowalewicz הוא זמרת קנדיתוהסולן של להקת פאנק רוק בילי כשרון .
בנימין מאקו היל,בנימין מאקו היל (נולד ב 2 דצמבר 1980 ) הואהאקר דביאן 
בנימין נ ' קרדוזו,בנימין נתן קרדוזו ( 24 מאי 1870 - 9 יולי 
בנימין Péret,בנימין Péret ( 4 יולי 1899 - 18 ספטמבר 1959 ) היה משורר צרפתי
בנימין Rush, 
בנימין ווייד,בנג'מין פרנקלין \ בלאף \ ווייד ( 27 אוקטובר 1800 - 2 מרס 1878 ) היה עורך דין בארה\ב ובארצות הברית הסנטור. 
בנימין מערב,בנימין המערבי
בנימין צפניה,בנימין עובדיה איקבל צפניה ( נולד ב -15 אפריל 1958
בנג'י גרגורי,בנג'י גרגורי (נולד בנימין גרגורי הרצברג ב -26 במאי 1978 בפנורמה סיטי
Benmont טנץ,בנימין מונמורנסי \ Benmont \ טנץ השלישי (נולד ב 7 ספטמבר 1953 ) הואקלידן אמריקאי הידוע בעיקר כחברת מייסדת של טום פטי ושוברי הלבבות.
נט לואיס, 
Bennie מופין,Bennie מופין ( נולד ב 29 אוגוסט 1940) הואmultireedist ג'אז דטרויט מישיגן . 
בן Fürmann,בנימין \ בנו \ Fürmann (נולד 17 ינואר 1972 ) הואשחקן קולנועוטלוויזיה גרמני.
גוט בנו,גוט בנו וולטר
בני Benassi,Marco \ Benny \ Benassi ( nascido em 13 de julho de 1967) é um DJ italiano e um produtor musical. 
בני צ'אן ( במאי קולנוע ),בני צ'אן Muk - סינג (סיני :胜 陈木; סיני מסורתי :陈木 胜; בפין : חן Mùshèng ; נולד ב -7 באוקטובר 
בני גרב,בני גרב (נולד יום 13 ביוני 1980 באוגסבורג
בני היל,אלפרד Hawthorne היל 
בני Hinn,תופיק בנדיקטוס \ בני \ Hinn הואtelevangelist 
בני לאונרד,Benny Leonard (nascido Benjamin Leiner ; nome hebraico דוב בער בן אברהם גרשון ; 07 de abril de 1896 - 18 de abril de 1947 ) foi o boxeador peso leve profissional americano. 
בנו גוטנברג, 
Benode הארי Mukherjee,Binod הארי מוקרג'י ( בנגלית : বিনোদ বিহারী মুখার্জি ) ( 7 פבואר 1904 - 11 נובמבר 1980) היהאמן הודי ממדינת המערב בנגל. 
בנט האמר,בנט האמר הוא במאי קולנוע 
בנציון נתניהו,בנציון נתניהו ( 25 מרס 1910 - 30 אפריל 2012) היההיסטוריון ישראלי . 
בפו Brem,בפו Brem היהשחקן קולנוע גרמני 
בפו לוי,בפו לוי ( 14 מאי 1875 - 18 אוגוסט 1961) היהמתמטיקאי איטלקי. 
רנגריוס השני של איטליה,רנגריוס השני . (בערך 900 - 4 אוגוסט 966 ) היה מלך איטליהמ950 עדבתצהירב961 הוא היהנצרלשושלות AnscaridוUnruoching 
ברס המונד,ברס המונד (יו רספורד האמונד נולד 
ברנדט שיראק,ברנדט שיראק תרז מארי (נולדה ברנדט מארי תרז Chodron דה Courcel ביום 18 במאי 1933) היא פוליטיקאי צרפתיואשתו שלהנשיא לשעבר 
ברנדט דוולין McAliskey,ג'וזפין ברנדט דוולין McAliskey (נולד ב 23 אפריל 1947
ברנדט Lafont,ברנדט Lafont (נולד 25 אוקטובר 1938 ) היא שחקנית צרפתיתואמו של שחקנית פאולין Lafont ( 1963-1988 ) . 
ברנרד פייר Donnadieu,ברנרד פייר Donnadieu ( 2 יולי 1949 - 27 בדצמבר 2010) היהשחקן צרפתי .
ברנרד Blier,ברנרד Blier ( 11 ינואר 1916 - 29 מרץ 1989) היהשחקן אופי צרפתי. 
ברנרד Bresslaw,ברנרד Bresslaw ( 25 פבואר 1934 - 11 ביוני 1993) היהשחקן אנגלי . 
ברנרד קורנוול,ברנרד קורנוול OBE (נולד ב 23 פברואר 1944) הואסופר בריטי רומנים היסטוריים. 
ברנרד Cribbins,ברנרד Cribbins 
ברנרד דיאץ,ברנרד דיאץ הוא שחקן לשעבר גרמני כדורגל ומנהל.
ברנרד Dowiyogo,ברנרד Annen Auwen Dowiyogo (14 פברואר 1
ברנרד דוורק,ברנרד מוריס דוורק ( 27 מאי 1923 - 9 מאי 
חוק פרנסיס ברנרד,חוק פרנסיס ברנרד (נולד ב 4 נובמבר 1931 ) הואקרדינל אמריקאי שלהכנסייה הקתולית. 
ברנרד Genghini,ברנרד Genghini (נולד 18 ינואר 1958בSoultz - Haut- Rhin
ברנרד גולדברג,ברנרד ריצ'רד גולדברג (נולד 31 מאי 1945 ) 
ברנרד הנרי Bourdillon,סר ברנרד הנרי Bourdillon 
ברנרד Hislaire,ברנרד Hislaire (11 בינואר 1957) הוא יוצר קומיקס בלגיים. 
ברנרד קייטס,ברנרד Kateswasשחקן אמריקאי בטלביזיה
ברנאר קושנר,ברנאר קושנר ( נולד ב -1 בנובמבר 1939) הוא פוליטיקאי צרפתי
ברנרד נתן,ברנרד נתן ( 14 יולי 1886 - 1942 אוקטובר) (נולד נתן Tannenzaft ) היההבמאי פרנקו - רומנית סרט ושחקן של1920sו1930s . 
ברנרד Panafieu,ברנרד לואיס אוגוסט פול Panafieu הואקרדינל קתולי צרפתי.
ברנרד Rudofsky, 
ברנרד שו (עיתונאי),ברנרד שו ( נולד ב -22 מאי 1940) הוא עיתונאי אמריקאי בדימוסומגיש חדשות לשעבר של CNN מ -1980 עד לפרישתו במארס 2001.
ברנרד Stiegler,ברנרד Stiegler (נולד ב 1 אפריל 1952 ) הואפילוסוף צרפתיבגולדסמית 
ברנרד טאפייה, 
ברנרד תומפסון,ברנרד תומפסון (נולד ב -30 אוגוסט 1962
ברנרד Tomic,ברנרד Tomic ( קרואטי : ברנרד Tomic ; נולד 21 אוקטובר 1992 ) הואשחקן טניס מקצועי אוסטרלישכ-18 בפברואר 2013 מדורג עולם מס 46 על ידי איגוד טניס מקצוענים (ATP) . 
ברנרד le Bovier דה Fontenelle,Para outros usos Fontenelle 
ברנרד של סאקס - ויימאר,ברנרד של סאקס - ויימאר (בגרמנית: ברנהרד פון Sachsen - ויימאר ) ( 16 אוגוסט 1604 - 18 יולי 1639 ) היה נסיך גרמני וכללי במלחמתשלושים השנים.
Bernardine של Feltre,Bernardine המבורך של Feltre (לפעמים Bernardinus של Feltre ) היהנזיר קטן ומיסיונרית 
ברנד Bauchspieß,ברנד Bauchspieß (אוקטובר נולד 10 1939) הואכדורגלן לשעבר גרמני.
ברנד Bransch,ברנד Bransch (נולד 24 ספטמבר 1944 בהאלה ) הואכדורגלן לשעברממזרח גרמניה. 
ברנד Dittert,ברנד Dittert (נולד ב 6 פבואר 1961בGenthin ) הוארוכב בדימוס מירוץממזרח גרמניה 
ברנד Eichinger,ברנד Eichinger (11 אפריל 1949-1924 ינואר 2011) היהמפיק סרטים גרמני ובמאי.
ברנד Eistert,ברנד Eistert (9 בנובמבר 1902-1922 מאי 1978) היה כימאי גרמני. 
ברנד פרייטג פוךלורינגהופן,הכללי ברנד פרייהר פרייטג פוךלורינגהופן (6 בפברואר 1914-1927 פברואר 2007) 
ברנד פרידמן,ברנד פרידמן ( גם השרוף פרידמן ) הוא מוסיקאי ומפיק גרמני שעובד תחת מגוון של שמות פרויקטים בתחומי אלקטרוניקה 
ברנד גרסדוףף,ברנד גרסדוףף (נולד 18 נובמבר 1946 בברלין וילמרסדורף - ) הוא שחקן כדורגל גרמני בדימוס . 
ברנד Herzsprung,ברנד Herzsprung הוא שחקן טלוויזיה גרמני.
ברנד Hollerbach,ברנד Hollerbach (נולד 8 דצמבר 1969בוירצבורג ) הוא מאמן כדורגל גרמניושחקן לשעבר
ברנד Karbacher,ברנד Karbacher ( נולד ב -3 באפריל 1968
ברנד לנו,ברנד לנו הוא כדורגלן גרמני שמשחק עבור באייר לברקוזן 
ברנד Meinunger,ברנד Meinunger (נולד 30 ספטמבר 1944בMeiningen ) הוא מפיק פזמונאי ושיא גרמני שלעתים קרובות עובד עם ראלף זיגל ודוד ברנדס . 
ברנד Rauw,ברנד גרד Rauw (נולד 8 ינואר 1980בMalmedy ) הוא כדורגלן בלגי שהוא כיוםסוכן חופשי .
ברנד Rosemeyer,ברנד Rosemeyer היה נהג מירוצים גרמני.
ברנד רופ,ברנד רופ ( 24 בפברואר נולד 1942) הוא שחקן כדורגל גרמני בדימוס . 
ברנהרד האמר,ברנהרד האמר (3 במרס 1822
ברנהרד Hennen,ברנהרד Hennen (נולד 1966 בקרפלד ) הואסופר גרמני של ספרות פנטזיה. 
ברנהרד השני,ברנהרד השני אריך פרוינד 
ברנרד לניגר,ברנרד לניגר (נולד 27 אוגוסט 1957 ) הואשחקן גולף מקצועי גרמני. 
ברנהרד Lauritz פרדריק בנג,ברנהרד Lauritz פרדריק בנג ( 7 יוני 1848 Soro - 22 יוני 1932 קופנהגן) 
ברנהרד Rensch,ברנהרד Rensch (21 בינואר 1
ברנהרד ריגר,ברנהרד ריגר (נולד ב -17 דצמבר 1922) הואכומר בכיר גרמני שלהכנסייה הקתולית. 
ברנהרד Sinkel,ברנהרד Sinkel (נולד 19 ינואר 1940 ) הוא במאי קולנוע גרמני ותסריטאי. 
ברנהרד וסל,ברנהרד וסל (נולד 20 אוגוסט 1936 ) הואשוער כדורגל לשעבר גרמני ששיחק בבורוסיה דורטמונד .
ברנהרד Witkop, 
ברנהרד Zondek,ברנהרד Zondek ( 29 יולי 1891 - 8 בנובמבר 
ברנהרד פון בילוב,ברנהרד היינריך קרל מרטין פון בילוב ( 3 מאי 1849 - 28 אוקטובר 
ברני מק,ברנרד ג'פרי \ ברני \ מקאלו ( 5 אוקטובר 1957 - 9 באוגוסט 2008) 
האם רני,האם ברנרד מרסל ( נולד ב -3 באפריל 1945) הואgoaltender בדימוס קנדי מקצועי הוקי קרח ששיחק 13 עונות הוקי הליגה הלאומית (NHL ) עםפליירים פילדלפיה 
ברנט Balchen,ברנט Balchen ( 23 אוקטובר 1899 - 17 אוקטובר 1973 ) היהטייס חלוץ קוטב
Bernward של הילדסהיים,סנט ברן  WW  ארד (כ 960 - 20 נובמבר 1022) היההבישוף השלושה עשרה הילדסהייםמ993 עד מותו ב 1022.
ברט ברנס,ברטרנד ראסל ברנס ( 8 נובמבר 1929 - 30 דצמבר 1967) 
ברט דה Waele,ברט דה Waele ( נולד ב -21 יולי 1975) הוארוכב אופניים בלגיים בדימוס מרוצי כביש מקצועי
ברט לר,ברט לר (נולד אירווינג Lahrheim ; 13 אוגוסט 1895 - 4 בדצמבר 
ברט לאנס,תומאס ברטראם ( ברט ) לאנס (נולד ב 3 יוני 1931 ) הואאיש עסקים אמריקאים 
ברט סטרן,ברטרם שטרן (נולד ב 3 אוקטובר 1929 ) הואצלם פורטרטי אופנהוסלבריטים אמריקאים.
ברט וויליאמס,Isto é sobre o performer Broadway Bert Williams. 
ברט ואן Marwijk,ברט ואן Marwijk (נולד 19 מאי 1952 ) הוא כדורגלן הולנדי לשעבר ומאמן כדורגל . 
ברטולד ,ברטולד פרידריך וילהלם ארנסט אוגוסט היינריך קרל 
Berton צ'רצ'יל, 
ברטרם יוג'ין וורן,ברטרם יוג'ין וורן ( 28 יוני 1902 27 - ביוני 
ברטרם Kostant,ברטרם Kostant (נולד 1928) הואמתמטיקאי אמריקאי מוביל.
בריל קוק,בריל קוק
בריל מרקהם,בריל מרקם ( 26 אוקטובר 1902 - 3 אוגוסט 1986 ) היהטייסת יליד בריטניה בקניה 
בת' אלן,אליזבת \ בת' \ אלן כבר פועל מאזגיל צעירוהופיע במספר הפקות קטנות ופרסומות מאז 1993. התפקיד הגדול הראשון שלה היהבקלאוד 9 שלהאגדה של וילהלם טלב1998
בת' הארט,בת' הארט (נולד 24 ינואר 1972 ) היאזמרת אמריקנית שהתפרסמה עם הלהיט \ לוס אנג'לס השירים ( מתוך העיר הזאת ) \ 
בת' אורטון,בת' אורטון ( אליזבת קרוליין אורטון נולד 
בת'אני ג'וי לנץ,בת'אני ג'וי לנץ (לשעבר Galeotti ) נולד ב 2 באפריל
בטי Nesmith גרהם,בטי קלייר גרהם ( 23 מרס 1924 - 12 מאי 1980) היהקלדנית אמריקנית
בטינו Ricasoli,בטינו Ricasoli 
בטי Boo,אליסון מוירה קלרקסון הידוע יותר בשם בטי בו
Bev פרדו,בוורלי חותכות \ Bev \ פרדו (נולד ב בוורלי מרלן מור ; 14 ינואר 1947 ) הואפוליטיקאי וחברהמפלגה הדמוקרטית אשר כיהנה כמושל ה -73 שלמדינת צפון קרוליינה בארה\ב אמריקאי. 
בוורלי מיטשל,בוורלי אן מיטשל (נולד 22 ינואר 1981 ) הוא זמרת מוסיקת שחקנית ומדינה אמריקנית. 
בוורלי ביין,בוורלי ביין ( Bain פרל בוורלי נולד ) (11 בנובמבר 
Beyers נאוד,כריסטיאן פרידריך Beyers נאוד (10 במאי 1
בגהאט סינג, 
Bharath גופי,Gopinathan Velayudhan נאיר
ביבי Besch,יביאנה \ביבי \ Besch ( 1 פבואר 1940 - 7 בספטמבר 
• אם עירום,• אם עירום (נולד בת' טורברט יום 15 ביוני 
ביג ג'יי McNeely,ביג ג'יי McNeely הואהסקסופוניסט ריתם אנד בלוז אמריקאי.
ביג ג'ו וויליאמס,יוסף לי וויליאמס ( 16 אוקטובר 1903 - 17 דצמבר 
הגדול וולטר הורטון,וולטר הורטון
ביז'ו פיליפס,קומפקטי לילי פיליפס (נולד ב 1 אפריל 1980 ) הוא שחקנית 
בילאל בן רבאח אל - חבשי,בילאל בן רבאח או בילאל אל - חבשי (AD 580-640 ) היהאפריקאי של לוויה מורשת אתיופית האסלאמי הנביא מוחמד 
ביל איירס,ויליאם צ'ארלס \ביל\ איירס (נולד 26 דצמבר 1944 ) הואתיאורטיקן אמריקאי חינוך יסודיומנהיג לשעבר בתנועה שהתנגדה למעורבות אמריקנית במלחמת וייטנאם. 
ביל ברי,ויליאם תומאס \ביל\ ברי (נולד 31 יולי 1958 ) הוא מוסיקאי אמריקאי בדימוסורב נגן 
ביל ביקסבי,וילפרד ביילי אוורט \ביל\ ביקסבי III ( 22 ינואר 1934 - 21 נובמבר 
ביל בראון ( מלחין ),ביל בראון IV הואמלחין אמריקאי .
ביל צ'ייס,ביל צ'ייס ( 20 אוקטובר 1934 - 9 באוגוסט 
ביל קובס,וילברט \ביל\ קובס (נולד 16 יוני 1934 ) הוא שחקן קולנוע וטלוויזיה אמריקאי. 
ביל קונטי,ויליאם \ביל\ קונטי (נולד 13 אפריל 1942 ) הואמלחין מוסיקה לסרטים אמריקאי שהוא לעתים קרובות את המנצח בטכס פרסי האקדמיה .
ביל קוק,ויליאם Osser חאווייר קוק (9 באוקטובר 
ביל קוסבי, 
ביל דייויס,ויליאם גרנוויל \ביל\ דייויס 
ביל דיקסון,Este artigo é sobre o americano trompetista / compositor: para o designer de jogos de tabuleiro 
ביל אוונס, 
ביל אוונס ( סקסופון ),ויליאם ד \ביל\ אוונס הואסקסופוניסט ג'אז אמריקאי. 
ביל פריסט,ויליאם הריסון \ביל\ פריסט 
ביל גרוס,Este artigo refere-se ao gerente de títulos PIMCO ; 
ביל היידר,ויליאם \ביל\ חאדר (נולד ב 7 יוני 1978 ) הוא שחקן 
ביל היילי,ויליאם ג'ון קליפטון \ביל\ היילי הייתה אחדממוסיקאי רוק אנד רול האמריקאים הראשונים . 
ביל ג'יימס,ג'ורג' ויליאם \ביל\ ג'יימס (נולד ב 5 אוקטובר 1949 ) הואסופר אמריקאי בייסבול 
ביל ליר,ויליאם פאוול (ביל ) ליר ( 26 יוני 1902 - 14 מאי 
ביל לי ( מוסיקאי),ויליאם ג'יימס אדוארדס \ ביל \ לי III (נולד 23 יולי 1928 ) הואמוסיקאי אמריקאי . 
ביל מייסי,ביל מייסי (נולד וולף מרווין גרבר ; 18 מאי 1922 ) הוא שחקן אמריקאי טלוויזיה
ביל Mumy,צ'ארלס ויליאם \ביל\ Mumy הבן
ביל ניי,ויליאם פרנסיס \ביל\ ניי הואשחקן אנגליוקומיקאי . 
ביל Oddie,ויליאם \ביל\ Oddie OBE אדגר ( נולד ב -7 ביולי 1941 רוצ'דייל 
ביל פטרסון (שחקן),ביל פטרסון (נולד ב 3 יוני 1945 ) הואשחקן תיאטרון 
ביל פיין,ביל פיין ייסד 
ביל אפיפיור,ויליאם הומר \ביל\ אפיפיור
ביל הקש,ויליאם \ביל\ העיתונות (נולדה ב 8 אפריל 1940 ) היאמארח ארה\ב רדיו לדבר 
ביל ריד,ויליאם (ביל ) רונלד ריד ג'וניור
ביל סיימון ( פוליטיקאי),ויליאם אדוארד סיימון ג'וניור (נולד 20 יוני 1951 ) 
ביל טאפיה,ביל טאפיה (1 בינואר 1908 - 2 דצמבר 2011 ) 
בילי \ קראש \ קראדוק,בילי \ קראש \ קראדוק (נולד 16 יוני 1939 ) הואמדינה אמריקניתוזמרת רוקבילי . 
בילי באנג,בילי באנג ( 20 ספטמבר 1947 - 11 אפריל 2011) 
בילי בס נלסון, 
בילי בוב תורנטון,בילי בוב תורנטון ( 4 באוגוסט נולד
בילי בויד (שחקן),בילי בויד (נולד 28 אוגוסט 1968 ) הואשחקן סקוטי ומוסיקאי הידוע ביותרלמשחק את הדמות פרגרין \ פיפין \ לקחבעיבודים הקולנועיים שלשר הטבעותוארט Bondenבאדון ומפקד : הצד הרחוק של העולם 
בילי באטרפילד, 
בילי מחולית,ויליאם דיוויד מחולית ( 8 באוקטובר 
בילי דיקן,ויליאם הרולד \ בילי \ דין ג'וניור (נולד ב 2 אפריל 1962 
בילי די וויליאמס,ויליאם דצמבר \ בילי די \ ויליאמס ג'וניור (נולד ב 6 אפריל 1937 ) הוא שחקן אמריקאי 
בילי זעם,בילי זעם (17 אפריל 1940-1928 ינואר 1983) נולד רונלד Wycherley 
בילי גיא,בילי גיא ( 20 יוני 1936 - 5 בנובמבר 2002) היהזמרת אמריקנית.
בילי הארט,ויליאם \ בילי \ הארט (נולד 29 נובמבר 1940 בוושינגטון הבירה ) הואמתופף ג'אזומחנך שביצע עם כמה ממוסיקאי הג'אז החשובים ביותר בהיסטוריה.
בילי איידול,William Albert Michael Broad {{
בילי ג'ואל,וויליאם מרטין \ בילי \ ג'ואל (נולד ב 9 מאי 1949 ) הואפסנתרן אמריקאי
בילי קייל,ויליאם אוסבורן \ בילי \ קייל ( 14 יולי 1914 - 23 פברואר 
בילי מאי,ויליאם א ' \ בילי \ במאי ( 10 נובמבר 1916 - 22 ינואר 
שם בילי,בילי שם 
בילי רוז,ויליאם \ בילי \ רוז ( 6 ספטמבר 1899 - 10 פברואר 
בילי סוואן,בילי לאנס סוואן (נולד ב -12 מאי 1942) הואפזמונאיוזמר אמריקאי 
בילי ורה,בילי ורה (נולד ויליאם מק 'קורד ; 28 מאי 1944 ) הואהיסטוריון זמר
בילי מערב,ויליאם ריצ'רד \ בילי \ המערבי ( נולד ב 16 אפריל 1950) הוא שחקן אמריקאי קול ומוסיקאי הידוע ביותרלעבודה את קולובמספר תוכניות טלוויזיה
בילי רייט ( נאמנו ), 
Bimal רוי,Bimal רוי (12 ביולי 1909-8 ינואר 1966 ) היה אחד הבמאים הקולנוע הודיים המהוללים ביותר של כל זמנים . 
בינגו רימר,בינגו רימר 
בנימין זאב כהנא,בנימין זאב כהנא היה רבובנו של הרב מאיר כהנא . 
בירגר אריקסן,בירגר קריסטיאן אריקסן (17 בנובמבר 1875-1816 יולי 1958)
בירגיט Rausing,בירגיט Rausing (נולד 1924) הוא הסטוריון שוודי אמנות ונדבן 
Birt אקרים, 
Bishweshwar פראסאד Koirala,Bishweshwar פראסאד Koirala ( נפאלית : बिश्वेश्वर प्रसाद कोइराला ) ( 1914-1982 ) הייתהראש הממשלה של נפאל 1959-1960 הוא הוביל את הקונגרס הנפאלי 
Biz מארקי,Marcel Theo Hall ( nascido em 8 de abril de 1964) mais conhecido pelo seu nome artístico 
ביזארי ( ראפר ),רופוס ארתור ג'ונסון (נולד ב 5 יולי 1976 ) 
ביורן Andresen, 
ביורן Joppien,ביורן Joppien (נולד 30 ינואר 1981 ) הוא שחקן בדמינטון זכר מגרמניה.
ביורן פהאו,ביורן פהאו (נולד ב 4 אוקטובר 1979 ) הוא שחקן טניס גרמני. 
ביארן Goldbæk,ביארן Goldbæk ( נולד ב -6 באוקטובר 1968) הוא כדורגלן דני לשעבר מקצועי ופרשן ספורט הנוכחילKanal 5 . הוא שיחקבמספר המועדונים הזרים 
ביארן Stroustrup,ביארן Stroustrup ; 
Bjarni טריגוואסון,Bjarni V. טריגוואסון (נולד 21 ספטמבר 1945 ) הואמהנדס קנדי שנולד איסלנדיואסטרונאוט NRC / CSA ​​לשעבר. 
עכביש שחור,עכביש השחור הוא שמם של כמה דמויות בדיוניותשהם נבלים קומיקס DC . 
Blaga דימיטרובה,Blaga Nikolova דימיטרובה ( 2 ינואר 1922 Byala Slatina - 2 מאי 2003) הייתה משורר בולגרי וסגן הנשיא של בולגריה מ 1992 עד 1993.
בלייק לייבלי,בלייק לייבלי Ellender (נולד בלייק Ellender בראון ; 25 אוגוסט 1987 ) הוא שחקנית אמריקנית ודגם שכיכבכדר סרינה ואן Woodsen בסדרת דרמת העשרה טלוויזיה האחת שיודעת . 
בלייק נלסון,בלייק נלסון (נולד 31 אוגוסט 1965 ) הואסופר אמריקאי של מבוגריםוספרות ילדים. 
בלאנש של ארטואה,בלאנש של ארטואה (1248 - 2 מאי 1302) היהזוג מלכת נווארה ; 
בלאנש של אנגליה,בלאנש של אנגליה 
בלאנש ולואה,בלאנש ולואה ( מרגריט הוטבל ) ( 1316-1348 ) היה בתו הצעירה של צ'רלס ולואהואשתו השלישית של Mahaut Châtillon . 
בלאס Ople,בלאס Fajardo Ople היה עיתונאי פיליפיניתופוליטיקאי שהחזיק במספר תפקידים הבכיר ברשות המבצעת והרשות מחוקקת של הממשלה הפיליפינית 
בלאס דה Lezo,בלאס דה Lezo y Olavarrieta (3 בפברואר 1
Blathmin ni Briain,Blathmin ni Briain 
Blel קדרים,Blel קדרים (נולד 3 ספטמבר 1986 בבורדו ) הוארוכב אופני כביש מקצועי צרפתי לצוות UCI ProTour Ag2r - La Mondiale .
בליס קרמן,בליס קרמן FRSC ( 15 אפריל 1861 - 8 יוני 1929 ) היה משורר קנדי שחי את מרבית חייו בארצות הברית 
פריחה חמודה,פריחת Margrete חמוד ( 28 באפריל 
Blu קנטרל,Blu קנטרל (נולד טיפאני קוב ; 16 מרס 1976 ) הוא אמריקאי R
Bocek הרביעי של Podebrady,Bocek הרביעי של Podebrady 
בו קרטר,Armenter \בו קרטר \ Chatmon 30 (ביוני 1892 - 21 ספטמבר 1964 ) היהמוסיקאי בלוז אמריקאי המוקדם . 
בו גולדמן,רוברט \בו \ גולדמן (נולד 10 ספטמבר 1932 ) הואסופר אמריקאי 
בי האנסון,בי האנסון ( 10 אפריל 1943 - 23 אפריל 2010) היה מוסיקאי שוודי הידוע בעיקר בזכות ארבעת האלבומים אינסטרומנטליים שלו שפורסמוב1970s.
בו הופקינס,בו הופקינס (נולד ויליאם הופקינס ; 2 פבואר 1942 ) הוא שחקן אמריקאי .
בועז יכין,בועז יכין (נולד 20 יוני 1966 ) הואתסריטאי ובמאי קולנוע אמריקאי שבסיסה בניו יורק. 
בוב ליבנה,רוברט וויין \בוב \ ליבנה ( 14 יולי 1956 - 15 אוגוסט 2012) היהמוסיקאי אמריקאי . 
בוב שחור,בוב השחור (נולד רוברט צ'רלס שחור
בוב בריאן,רוברט צ'ארלס \בוב \ בריאן (נולד 29 אפריל 1978 ) הואשחקן טניס אמריקאי גברי מקצועי. 
בוב קוסטס,רוברט קווינלן \בוב \ קוסטס (נולד 22 מרס 1952 ) הואדר ספורט אמריקאי
בוב קריין,רוברט אדוארד \בוב \ קריין (13 ביולי 1928 - 29 יוני 1978 ) היהשחקן אמריקאיותקליטן . 
בוב דייויס, 
בוב Denard,קולונל רוברט \בוב \ Denard (7 אפריל 
בוב דנבר,רוברט אוסבורן \בוב \ דנבר (9 בינואר 
בוב Gainey,רוברט מיכאל \ Le Capitaine \ Gainey הואהנשיא לשעבר בכיר ומנהל כללי שלמונטריאול קנדיאנס של הליגה הלאומית להוקי ( NHL). 
בוב גורדון ( הסקסופוניסט ),בוב גורדון (11 ביוני 1928-1928 אוגוסט 1955 ) היהסקסופוניסט ג'אז אמריקאי בריטון מגניב נולד בסנט לואיס
בוב גרהם,דניאל רוברט \בוב\ גראהם (נולד ב 9 נובמבר 1936 ) הואפוליטיקאיוסופר אמריקאי . 
בוב גאנטון,רוברט פטריק \בוב \ גאנטון 
בוב הוק,רוברט ג'יימס לי \בוב \ הוק AC GCL (נולד ב 9 דצמבר 1929 ) הואאיגוד מקצועי פוליטיקאי וסחר אוסטרלי לשעבר
